Selection of zonal-annual-mean climate variables from NorESM2-MM CMIP6 pre-industrial control spin-up simulation [creation data: 2020-01-02T06:12:27Z] 

Reference for NorESM2: Seland, Ø., Bentsen, M., Olivié, D., Toniazzo, T., Gjermundsen, A., Graff, L. S., Debernard, J. B., Gupta, A. K., He, Y.-C., Kirkevåg, A., Schwinger, J., Tjiputra, J., Aas, K. S., Bethke, I., Fan, Y., Griesfeller, J., Grini, A., Guo, C., Ilicak, M., Karset, I. H. H., Landgren, O., Liakka, J., Moseid, K. O., Nummelin, A., Spensberger, C., Tang, H., Zhang, Z., Heinze, C., Iversen, T., and Schulz, M.: Overview of the Norwegian Earth System Model (NorESM2) and key climate response of CMIP6 DECK, historical, and scenario simulations, Geosci. Model Dev., 13, 6165–6200, https://doi.org/10.5194/gmd-13-6165-2020, 2020. 
 
Latitude	Surface Air Temperature (K)	Precipitation (kg m-2 s-1)	Snowfall (kg m-2 s-1)	Evaporation (kg m-2 s-1)	Incoming Shortwave Radiation TOA (W m-2)	Outgoing Shortwave Radiation TOA (W m-2)	Incoming Shortwave Radiation SFC (W m-2)	Outgoing Shortwave Radiation SFC (W m-2)	Outgoing Longwave Radiation TOA (W m-2)	Incoming Longwave Radiation SFC (W m-2)	Outgoing Longwave Radiation SFC (W m-2)	Sensible Heat Flux (W m-2)	Latent Heat Flux (W m-2)
-20.261780104712045	295.5356580213434	2.643152961545624e-05	2.2292298282287586e-09	4.7815430793816054e-05	392.09270074745655	89.77507397076494	235.42881770264614	18.114378401111793	269.50496711720797	374.9252571219904	444.2317873451953	30.463957122214012	119.58639692498971
-19.31937172774869	295.778251830265	2.714123583943282e-05	1.5191422136131389e-09	4.8833486285915525e-05	394.18772598893673	90.02014786451375	236.09691437659563	17.676731303641784	269.61149152929926	377.4502923991582	445.4080986153009	29.544304112469643	122.13255043580324
-18.376963350785346	296.0498159232641	2.8047284449452214e-05	1.702529412352811e-09	4.9280857814044395e-05	396.1908274445904	90.61867294782917	236.6458660061501	17.602061432841342	269.5424304072788	380.084765496	446.9158743712601	29.221112766212443	123.2514272389231
-17.43455497382199	296.3494436755826	2.9294331837375633e-05	2.33016298615906e-09	4.963004900715544e-05	398.0951645692334	91.29988169791673	236.90672498914208	17.447085703163207	269.3438032050401	382.76664254618197	448.5414662825644	28.995179575048912	124.12475363322453
-16.492146596858646	296.6098079581529	3.086427677178083e-05	1.1961679064460303e-09	5.058902898168797e-05	399.90519457380157	91.98719642318729	236.85261428520192	17.068568160334316	268.87213171664257	385.3785475510549	449.70605884192014	28.317811322753084	126.52316151805793
-15.54973821989529	296.87553307125376	3.260959444086935e-05	6.598713599351969e-09	5.1298391056486566e-05	401.6187126358531	92.30392342257899	237.29297920608082	16.737616239356125	268.35733756509546	387.73828600191086	451.5487301164567	28.52076780622556	128.29728876310452
-14.607329842931932	297.019121787392	3.44252523106239e-05	1.4883514286943426e-08	5.2697059339365846e-05	403.23201000472	93.1326937280289	237.0529131036407	16.445168803148256	267.4915087766372	389.6585968938883	451.88515607697417	27.50401606498232	131.79534552743976
-13.66492146596859	297.3175820122462	3.688548936201308e-05	1.0796998685550065e-10	5.371826656491848e-05	404.7504896471671	94.23124146618618	235.81837420688555	15.667064078293253	266.6912658757597	392.9226709071468	453.8567961901544	26.354281022768987	134.34938472066972
-12.722513089005233	297.60342655057053	3.9279231319363954e-05	5.400479075666888e-12	5.453339780370152e-05	406.16912291882426	94.80614411853763	235.5336005131839	15.389863242594982	265.787546934421	395.7292059610968	455.1573528806259	25.38115005263319	136.38802790644775
-11.78010471204189	297.89280154627386	4.1483375147853357e-05	3.368463419037367e-12	5.463565807005974e-05	407.4862040796962	94.88806707646386	235.75255531983106	15.067857622846256	264.8148938603597	398.20460591966525	456.72370229979447	24.379790711058376	136.64378082703217
-10.837696335078533	298.0957781824783	4.387785905282069e-05	2.3901872420561625e-12	5.423583030815177e-05	408.7078495526713	95.14791406626026	236.04224897073286	15.014769768177826	263.5613360072271	400.09931015897195	457.74451024326925	23.61142479690118	135.6438115677292
-9.89528795811519	298.3115569152426	4.6026783315678274e-05	2.231378992385068e-12	5.289303860172185e-05	409.8272256469436	95.2823216162715	236.66805528227056	15.187440678002808	262.224518310904	401.74925898074383	459.1637578245131	24.048164870487224	132.28548956799284
-8.952879581151834	298.4885722138276	4.822725993125686e-05	1.9725245300245874e-12	5.13853415855132e-05	410.84377741100946	95.4586056645058	237.35362874739428	15.473207534909067	260.70576115766437	403.03291766531026	460.2741093671558	24.404397579331714	128.5147392992308
-8.010471204188477	298.5979287450898	5.032400528295032e-05	1.906722862455746e-12	5.024601593482804e-05	411.7645187068457	95.8420359593512	237.66170250653133	15.710572176487663	259.0951974712877	404.05613870841364	460.61754729989457	24.34983701724302	125.66528588306684
-7.068062827225134	298.7170039217294	5.190592647870289e-05	3.1731014091446366e-12	4.8966523558423813e-05	412.58122032606803	96.10221636706109	237.9928685490508	15.859310087562514	257.69112699285125	405.0446794127837	461.29421878022146	24.362286124203496	122.46527543203462
-6.125654450261777	298.8178347564941	5.281972620089064e-05	4.674153943177227e-12	4.781575494637179e-05	413.293782371161	96.57492111888287	237.81380619159387	15.79850026206883	256.4668889995761	406.0676241784408	461.9379626674449	23.69018950312223	119.58720311393573
-5.1832460732984345	298.8547908656964	5.246253458187343e-05	7.490828017955535e-12	4.660170944258038e-05	413.9107462191763	96.97502936240926	237.6474621659944	15.753835355556898	255.5351764505058	406.8493481420926	461.9107790842448	22.97845658923406	116.55087527103495
-4.240837696335078	298.7941438269071	5.100638237658333e-05	7.894110473535986e-12	4.517008739541892e-05	414.42233844617726	97.18349488748989	237.70443650101237	15.766867612057805	254.81159599887724	407.1527356897932	461.0310946416347	21.859268758666108	112.97038861191646
-3.298429319371735	298.66287498494444	4.889587383859765e-05	6.619545508389487e-12	4.334086506715305e-05	414.8281291949768	97.5291304206195	237.67928377227696	15.927695431883478	254.30041202836927	406.98963369169195	459.4747798091999	20.998884790486663	108.39550353854214
-2.356020942408378	298.58921056480347	4.672507724662574e-05	4.525989742309158e-12	4.188863077066268e-05	415.1399528531288	97.6273021122854	237.3948666459349	15.606002987929855	253.95769179659166	407.0407962273318	458.7221033587231	19.590860790527714	104.76346553351624
-1.4136125654450211	298.5434243401944	4.480636785804618e-05	3.918250251807015e-12	4.074140209724589e-05	415.34501186199566	98.26444989698662	236.48860741402643	15.32896152670525	253.57957767276093	407.22902864586814	458.3907252876363	19.27615555959925	101.89424663562724
-0.47120418848167844	298.5327736622304	4.3956549258431405e-05	3.4096792390837855e-12	4.044216785505926e-05	415.43770551556685	99.19537835967051	234.9701916166419	14.904818813441551	253.00571111050553	407.7970471115054	458.53418164132756	18.620537026527796	101.145861834311
0.47120418848167844	298.5804564518109	4.467498780710673e-05	3.988722090801669e-12	4.1206297977421334e-05	415.43770571872705	100.98357331554638	232.90570888569366	15.047948089712829	252.03962323682313	408.8151530582248	459.126157323817	19.52593920115993	103.05695125086385
1.4136125654450211	298.7311259074334	4.8045447900529496e-05	4.243249209170422e-12	4.349427351755525e-05	415.34501227362875	103.88216378966423	229.1691715069122	14.832292894838064	250.40353981544982	410.7273181076863	460.78376608089405	20.668699573304664	108.77917807145448
2.356020942408378	298.9308100727087	5.3616888642759905e-05	4.630041171666289e-12	4.519363680970278e-05	415.1399534842957	107.85706489702336	224.07503959115058	14.479980706326675	248.13443065114947	412.92281138589937	462.5791032537115	21.601859693967274	113.02928564776009
3.2984293193717207	299.09954475757013	6.0632756950735624e-05	4.11515068416582e-12	4.612424171140141e-05	414.8281302523794	111.71360285792359	219.22797057594886	14.252477285923659	245.63030346056095	414.6038288386735	464.0889828924646	22.123294521562496	115.35672859282879
4.240837696335078	299.1823492657213	6.764931563333052e-05	4.512298925946783e-12	4.66499920079772e-05	414.4223394825615	114.854437335129	215.49509694338207	14.336934300648384	243.2840647841153	415.3130861950066	464.591051091001	22.355161972768755	116.67163002223889
5.1832460732984345	299.2805192736912	7.319860162578482e-05	5.0137227230763375e-12	4.679947520630449e-05	413.91074767059024	117.00125555534522	213.38403014807216	14.909348956105191	241.70839157182874	415.5427738263727	465.2614068955954	23.29496392101742	117.0454875342799
6.125654450261777	299.35068164259326	7.625811697724911e-05	5.0115873049206706e-12	4.7219867559082655e-05	413.2937842715712	116.51532369940249	213.75308657918347	15.044377110182243	241.2803487391595	415.1097504998414	465.91186192632995	23.15441149199575	118.0968887593597
